pig_number	Group	day	pen	room	experiment	tissue	treatment	Sow	birth_room	DOB	Sex	initial_weight	Necropsy.day	Pen	set	shannon
193	53	X1P53N2AFD11	11	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D11_Feces_inject	3.84876364033573
194	53	X1P53N2AFD14	14	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D14_Feces_inject	3.16792365941084
195	53	X1P53N2AFD4	4	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D4_Feces_inject	3.44214327735086
196	53	X1P53N2AFD7	7	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D7_Feces_inject	3.8237593255889
197	54	X1P54N2ACD14	14	2A	2	X1	Colon	inject	1209	3	1/30/2016	M	7.2	14	2A	D14_Colon_inject	3.29884253548057
198	54	X1P54N2AFD0	0	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D0_Feces_inject	4.15826830944341
199	54	X1P54N2AFD11	11	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D11_Feces_inject	4.70521255243838
200	54	X1P54N2AFD14	14	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D14_Feces_inject	4.27554742722007
201	54	X1P54N2AFD4	4	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D4_Feces_inject	3.99248185318356
202	54	X1P54N2AFD7	7	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D7_Feces_inject	4.44654711366048
203	55	X1P55N2BCD14	14	2B	2	X1	Colon	inject	1215	4	1/27/2016	F	6.3	14	2B	D14_Colon_inject	3.13988396225816
204	55	X1P55N2BFD0	0	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D0_Feces_inject	4.35046221702361
205	55	X1P55N2BFD11	11	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D11_Feces_inject	3.88719922959416
206	55	X1P55N2BFD14	14	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D14_Feces_inject	3.66485090832807
207	55	X1P55N2BFD7	7	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D7_Feces_inject	3.93015972995984
208	56	X1P56N2BCD14	14	2B	2	X1	Colon	inject	1214	4	1/30/2016	M	6.4	14	2B	D14_Colon_inject	2.76613727886025
209	56	X1P56N2BFD0	0	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D0_Feces_inject	4.05401984099067
210	56	X1P56N2BFD11	11	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D11_Feces_inject	4.08544837106689
211	56	X1P56N2BFD14	14	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D14_Feces_inject	3.94925255366136
212	56	X1P56N2BFD4	4	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D4_Feces_inject	4.55134752097997
213	56	X1P56N2BFD7	7	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D7_Feces_inject	4.11174665226963
214	57	X1P57N2BCD14	14	2B	2	X1	Colon	inject	1210	5	1/27/2016	M	4.7	14	2B	D14_Colon_inject	3.42604197286877
215	57	X1P57N2BFD0	0	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D0_Feces_inject	3.51551980881753
216	57	X1P57N2BFD11	11	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D11_Feces_inject	4.21692110172728
217	57	X1P57N2BFD14	14	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D14_Feces_inject	4.36783358062675
218	57	X1P57N2BFD4	4	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D4_Feces_inject	3.83799829877311
219	57	X1P57N2BFD7	7	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D7_Feces_inject	4.18519625448479
220	58	X1P58N2BCD14	14	2B	2	X1	Colon	inject	1213	5	1/29/2016	M	3.7	14	2B	D14_Colon_inject	3.18377406132625
221	58	X1P58N2BFD11	11	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D11_Feces_inject	3.62083871249851
222	58	X1P58N2BFD14	14	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D14_Feces_inject	3.47668224638618
223	58	X1P58N2BFD4	4	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D4_Feces_inject	3.95567356889086
224	58	X1P58N2BFD7	7	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D7_Feces_inject	4.18492461558701
225	59	X1P59N3ACD14	14	3A	3	X1	Colon	oral	1208	1	1/29/2016	F	5.9	14	3A	D14_Colon_oral	2.45165063541847
226	59	X1P59N3AFD11	11	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D11_Feces_oral	3.87213720223509
227	59	X1P59N3AFD14	14	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D14_Feces_oral	2.36107234702473
228	59	X1P59N3AFD4	4	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D4_Feces_oral	3.91638257564403
229	59	X1P59N3AFD7	7	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D7_Feces_oral	3.46334856015959
230	60	X1P60N3ACD14	14	3A	3	X1	Colon	oral	1211	2	1/30/2013	M	5.4	14	3A	D14_Colon_oral	3.70943086662796
231	60	X1P60N3AFD0	0	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D0_Feces_oral	4.12521584287657
232	60	X1P60N3AFD11	11	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D11_Feces_oral	4.14802632977052
233	60	X1P60N3AFD14	14	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D14_Feces_oral	3.19755584792765
234	60	X1P60N3AFD7	7	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D7_Feces_oral	3.93367687069741
235	61	X1P61N3ACD14	14	3A	3	X1	Colon	oral	1206	1	1/31/2016	F	5.4	14	3A	D14_Colon_oral	3.00643191636389
236	61	X1P61N3AFD11	11	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D11_Feces_oral	3.96445702505557
237	61	X1P61N3AFD14	14	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D14_Feces_oral	3.30511402391754
238	61	X1P61N3AFD4	4	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D4_Feces_oral	3.79942625150868
239	61	X1P61N3AFD7	7	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D7_Feces_oral	3.90648024230971
240	63	X1P63N3BCD14	14	3B	3	X1	Colon	oral	1215	4	1/27/2016	F	6.4	14	3B	D14_Colon_oral	2.9502433646233
241	63	X1P63N3BFD0	0	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D0_Feces_oral	4.09788041105993
242	63	X1P63N3BFD11	11	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D11_Feces_oral	4.22178523901227
243	63	X1P63N3BFD14	14	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D14_Feces_oral	2.98640233608298
244	63	X1P63N3BFD4	4	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D4_Feces_oral	4.01193039435539
245	63	X1P63N3BFD7	7	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D7_Feces_oral	4.48755980869864
246	64	X1P64N3BCD14	14	3B	3	X1	Colon	oral	1214	4	1/30/2016	F	4.2	14	3B	D14_Colon_oral	3.81081156905866
247	64	X1P64N3BFD0	0	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D0_Feces_oral	4.18673755955867
248	64	X1P64N3BFD11	11	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D11_Feces_oral	4.08730466579751
249	64	X1P64N3BFD14	14	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D14_Feces_oral	3.75435627099308
250	64	X1P64N3BFD4	4	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D4_Feces_oral	3.83177401605379
251	64	X1P64N3BFD7	7	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D7_Feces_oral	4.14112717494848
252	65	X1P65N3BCD14	14	3B	3	X1	Colon	oral	1210	5	1/27/2016	M	6.3	14	3B	D14_Colon_oral	3.62748083712521
253	65	X1P65N3BFD0	0	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D0_Feces_oral	3.1891850985011
254	65	X1P65N3BFD11	11	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D11_Feces_oral	4.38017894371223
255	65	X1P65N3BFD14	14	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D14_Feces_oral	4.18077707012679
256	65	X1P65N3BFD4	4	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D4_Feces_oral	3.97098134461844
257	65	X1P65N3BFD7	7	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D7_Feces_oral	4.26012386434603
258	66	X1P66N3BCD14	14	3B	3	X1	Colon	oral	1213	5	1/29/2016	M	4.9	14	3B	D14_Colon_oral	3.65140239591459
259	66	X1P66N3BFD0	0	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D0_Feces_oral	3.69363772594636
260	66	X1P66N3BFD11	11	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D11_Feces_oral	4.4134396410622
261	66	X1P66N3BFD14	14	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D14_Feces_oral	3.76158233057185
262	66	X1P66N3BFD4	4	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D4_Feces_oral	3.99335469485958
263	66	X1P66N3BFD7	7	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D7_Feces_oral	4.30168515357175
